,number,values_0,values_1,datetime_start,datetime_complete,duration,params_checks,params_n_ratio,params_nskip,params_trees,params_w1,params_w2,system_attrs_nsga2:generation,system_attrs_nsga2:parents,state
34,34,inf,inf,2021-06-19 13:12:37.149213,2021-06-19 13:12:39.351373,0 days 00:00:02.202160,0,0.5286355794619854,1,5,23,20,0,,COMPLETE
35,35,0.27896164844696336,2.794478178024292,2021-06-19 13:12:39.353905,2021-06-19 13:12:42.149908,0 days 00:00:02.796003,10,0.8181318708590011,8,12,10,14,0,,COMPLETE
36,36,inf,inf,2021-06-19 13:12:42.150920,2021-06-19 13:12:42.350716,0 days 00:00:00.199796,70,0.31085437581913067,5,5,28,14,0,,COMPLETE
37,37,0.3320664058254857,3.756434202194214,2021-06-19 13:12:42.351847,2021-06-19 13:12:46.109655,0 days 00:00:03.757808,0,0.9550011937710494,6,9,14,30,0,,COMPLETE
38,38,0.3288151484669822,10.518872261047363,2021-06-19 13:12:46.110824,2021-06-19 13:12:56.630619,0 days 00:00:10.519795,100,0.6670947403626581,0,11,8,27,0,,COMPLETE
39,39,0.3540547234967569,10.191174030303955,2021-06-19 13:12:56.631847,2021-06-19 13:13:06.824001,0 days 00:00:10.192154,30,0.8717846979722721,0,16,10,7,0,,COMPLETE
40,40,0.25256494528097967,2.8273627758026123,2021-06-19 13:13:06.825235,2021-06-19 13:13:09.653533,0 days 00:00:02.828298,10,0.7044121314824888,8,4,8,23,0,,COMPLETE
41,41,0.28027157379545514,2.9455673694610596,2021-06-19 13:13:09.654475,2021-06-19 13:13:12.601002,0 days 00:00:02.946527,20,0.9867075203420317,10,1,5,12,0,,COMPLETE
42,42,inf,inf,2021-06-19 13:13:12.602089,2021-06-19 13:13:12.840708,0 days 00:00:00.238619,50,0.48300116522730935,10,8,8,19,0,,COMPLETE
43,43,0.31376039991416765,13.988385915756226,2021-06-19 13:13:12.841987,2021-06-19 13:13:26.831809,0 days 00:00:13.989822,100,0.9981858756497994,0,2,17,25,0,,COMPLETE
44,44,inf,inf,2021-06-19 13:13:26.832986,2021-06-19 13:13:27.020269,0 days 00:00:00.187283,90,0.4201630175677172,6,11,28,25,0,,COMPLETE
45,45,0.24583518907019702,3.1180145740509033,2021-06-19 13:13:27.022789,2021-06-19 13:13:30.142221,0 days 00:00:03.119432,90,0.6933678716519128,7,8,23,28,0,,COMPLETE
46,46,0.27532267150944406,3.5083892345428467,2021-06-19 13:13:30.143389,2021-06-19 13:13:33.652787,0 days 00:00:03.509398,50,0.7735969047093239,4,12,4,27,0,,COMPLETE
47,47,0.31761698130093097,2.7857136726379395,2021-06-19 13:13:33.654024,2021-06-19 13:13:36.440668,0 days 00:00:02.786644,70,0.7815688639630782,10,12,9,2,0,,COMPLETE
48,48,0.304572386445379,5.643828868865967,2021-06-19 13:13:36.441886,2021-06-19 13:13:42.086626,0 days 00:00:05.644740,40,0.8344129800998359,1,6,13,29,0,,COMPLETE
49,49,0.36408240424735583,3.0432724952697754,2021-06-19 13:13:42.087853,2021-06-19 13:13:45.132142,0 days 00:00:03.044289,20,0.9030810224375221,7,8,4,1,0,,COMPLETE
50,50,0.35442558336717145,10.34764838218689,2021-06-19 13:13:45.133388,2021-06-19 13:13:55.492602,0 days 00:00:10.359214,30,0.9010531154923536,0,16,10,7,1,"[41, 39]",COMPLETE
51,51,inf,inf,2021-06-19 13:13:55.493515,2021-06-19 13:13:55.742956,0 days 00:00:00.249441,0,0.36679282417652836,4,7,8,16,1,"[29, 33]",COMPLETE
52,52,inf,inf,2021-06-19 13:13:55.761471,2021-06-19 13:13:55.975622,0 days 00:00:00.214151,70,0.31085437581913067,4,12,28,27,1,"[46, 36]",COMPLETE
53,53,0.4132663526714613,7.873193025588989,2021-06-19 13:13:55.985082,2021-06-19 13:14:03.860173,0 days 00:00:07.875091,0,0.9550011937710494,1,12,26,30,1,"[37, 27]",COMPLETE
54,54,0.31674809450049723,3.859050989151001,2021-06-19 13:14:03.861438,2021-06-19 13:14:07.721737,0 days 00:00:03.860299,20,0.9867075203420317,5,1,7,5,1,"[41, 10]",COMPLETE
55,55,0.2426315838110884,2.834118366241455,2021-06-19 13:14:07.723008,2021-06-19 13:14:10.558221,0 days 00:00:02.835213,40,0.8344129800998359,8,7,0,29,1,"[6, 48]",COMPLETE
56,56,0.28071375047581637,2.9431076049804688,2021-06-19 13:14:10.559452,2021-06-19 13:14:13.503421,0 days 00:00:02.943969,90,0.8344129800998359,7,1,8,14,1,"[30, 48]",COMPLETE
57,57,inf,inf,2021-06-19 13:14:13.504495,2021-06-19 13:14:13.753734,0 days 00:00:00.249239,60,0.4470157427167166,10,16,17,10,1,"[1, 4]",COMPLETE
58,58,0.29751282605083224,4.347822427749634,2021-06-19 13:14:13.754805,2021-06-19 13:14:18.104080,0 days 00:00:04.349275,100,0.9981858756497994,5,15,29,7,1,"[43, 19]",COMPLETE
59,59,0.30358426692324875,2.825622797012329,2021-06-19 13:14:18.105318,2021-06-19 13:14:20.931904,0 days 00:00:02.826586,50,0.6561996717831641,8,12,10,8,1,"[10, 35]",COMPLETE
60,60,inf,inf,2021-06-19 13:14:20.933155,2021-06-19 13:14:21.583482,0 days 00:00:00.650327,70,0.5778081697813601,6,6,1,15,1,"[16, 22]",COMPLETE
61,61,0.29254188787362406,2.8469347953796387,2021-06-19 13:14:21.584878,2021-06-19 13:14:24.433578,0 days 00:00:02.848700,30,0.9119464428743755,10,13,17,3,1,"[1, 21]",COMPLETE
62,62,inf,inf,2021-06-19 13:14:24.434823,2021-06-19 13:14:24.873464,0 days 00:00:00.438641,50,0.48300116522730935,2,8,4,27,1,"[42, 46]",COMPLETE
63,63,0.24617505918383123,2.976670503616333,2021-06-19 13:14:24.896496,2021-06-19 13:14:27.874301,0 days 00:00:02.977805,90,0.6933678716519128,7,8,23,28,1,"[45, 45]",COMPLETE
64,64,0.30914798935684,2.703752279281616,2021-06-19 13:14:27.875554,2021-06-19 13:14:30.580115,0 days 00:00:02.704561,70,0.7815688639630782,10,12,9,2,1,"[47, 47]",COMPLETE
65,65,inf,inf,2021-06-19 13:14:30.581359,2021-06-19 13:14:30.753690,0 days 00:00:00.172331,90,0.36686498022782466,10,7,17,18,1,"[5, 21]",COMPLETE
66,66,0.3110462993434619,14.486916780471802,2021-06-19 13:14:30.754982,2021-06-19 13:14:45.243841,0 days 00:00:14.488859,100,0.9981858756497994,0,5,22,25,1,"[43, 26]",COMPLETE
67,67,0.2839074690805469,3.0476508140563965,2021-06-19 13:14:45.244930,2021-06-19 13:14:48.293599,0 days 00:00:03.048669,10,0.9550011937710494,8,12,14,14,1,"[37, 35]",COMPLETE
